# Lodders et al. 2020 solar abundances
# Symbol	Z	Elemental Mass Fraction
h	1	0.7462
he	2	0.2389
li	3	9.462e-09
be	4	1.375e-10
b	5	4.662e-09
c	6	0.002626
n	7	0.0007332
o	8	0.006378
f	9	5.767e-07
ne	10	0.002107
na	11	3.184e-05
mg	12	0.0005975
al	13	5.288e-05
si	14	0.0006727
p	15	6.13e-06
s	16	0.0003359
cl	17	4.494e-06
ar	18	8.494e-05
k	19	3.378e-06
ca	20	5.496e-05
sc	21	3.63e-08
ti	22	2.818e-06
v	23	3.359e-07
cr	24	1.636e-05
mn	25	1.197e-05
fe	26	0.001168
co	27	3.191e-06
ni	28	6.845e-05
cu	29	8.146e-07
zn	30	1.975e-06
ga	31	6.031e-08
ge	32	2.092e-07
as	33	1.09e-08
se	34	1.278e-07
br	35	2.364e-08
kr	36	1.03e-07
rb	37	1.442e-08
sr	38	4.887e-08
y	39	9.266e-09
zr	40	2.388e-08
nb	41	1.736e-09
mo	42	5.966e-09
ru	44	4.373e-09
rh	45	8.334e-10
pd	46	3.518e-09
ag	47	1.284e-09
cd	48	4.256e-09
in	49	4.924e-10
sn	50	1.022e-08
sb	51	1.047e-09
te	52	1.442e-08
i	53	4.835e-09
xe	54	1.727e-08
cs	55	1.172e-09
ba	56	1.498e-08
la	57	1.529e-09
ce	58	3.908e-09
pr	59	5.908e-10
nd	60	6.225e-09
sm	62	9.778e-10
eu	63	3.648e-10
gd	64	1.302e-09
tb	65	2.38e-10
dy	66	1.585e-09
ho	67	3.521e-10
er	68	1.028e-09
tm	69	1.631e-10
yb	70	1.046e-09
lu	71	1.593e-10
hf	72	6.648e-10
ta	73	9.323e-11
w	74	6.33e-10
re	75	2.324e-10
os	76	6.504e-09
ir	77	2.915e-09
pt	78	5.797e-09
au	79	9.203e-10
hg	80	1.812e-09
tl	81	8.766e-10
pb	82	1.655e-08
bi	83	7.08e-10
th	90	2.341e-10
u	92	5.113e-11
