# Lodders et al. 2020 solar abundances
#Symbol	Z	A	Isotope Mass Fraction
h	1	1	0.7462
h	1	2	0.0
he	2	3	7.677e-05
he	2	4	0.2388
li	3	6	6.197e-10
li	3	7	8.842e-09
be	4	9	1.375e-10
b	5	10	8.637e-10
b	5	11	3.798e-09
c	6	12	0.002596
c	6	13	2.941e-05
n	7	14	0.0007314
n	7	15	1.775e-06
o	8	16	0.006362
o	8	17	2.362e-06
o	8	18	1.35e-05
f	9	19	5.767e-07
ne	10	20	0.00195
ne	10	21	4.909e-06
ne	10	22	0.0001528
na	11	23	3.184e-05
mg	12	24	0.0004655
mg	12	25	6.166e-05
mg	12	26	7.035e-05
al	13	27	5.288e-05
si	14	28	0.000618
si	14	29	3.249e-05
si	14	30	2.219e-05
p	15	31	6.13e-06
s	16	32	0.0003184
s	16	33	2.583e-06
s	16	34	1.489e-05
s	16	36	5.515e-08
cl	17	35	3.36e-06
cl	17	37	1.134e-06
ar	18	36	7.124e-05
ar	18	38	1.367e-05
ar	18	40	2.295e-08
k	19	39	3.14e-06
k	19	40	4.022e-10
k	19	41	2.382e-07
ca	20	40	5.313e-05
ca	20	42	3.72e-07
ca	20	43	7.926e-08
ca	20	44	1.257e-06
ca	20	46	2.202e-09
ca	20	48	1.229e-07
sc	21	45	3.63e-08
ti	22	46	2.235e-07
ti	22	47	2.059e-07
ti	22	48	2.079e-06
ti	22	49	1.56e-07
ti	22	50	1.532e-07
v	23	50	8.377e-10
v	23	51	3.351e-07
cr	24	50	6.833e-07
cr	24	52	1.369e-05
cr	24	53	1.586e-06
cr	24	54	4.006e-07
mn	25	55	1.197e-05
fe	26	54	6.591e-05
fe	26	56	0.001074
fe	26	57	2.524e-05
fe	26	58	3.415e-06
co	27	59	3.191e-06
ni	28	58	4.595e-05
ni	28	60	1.838e-05
ni	28	61	8.103e-07
ni	28	62	2.626e-06
ni	28	64	6.893e-07
cu	29	63	5.579e-07
cu	29	65	2.567e-07
zn	30	64	9.497e-07
zn	30	66	5.513e-07
zn	30	67	8.178e-08
zn	30	68	3.792e-07
zn	30	70	1.34e-08
ga	31	69	3.584e-08
ga	31	71	2.447e-08
ge	32	70	4.138e-08
ge	32	72	5.687e-08
ge	32	73	1.625e-08
ge	32	74	7.775e-08
ge	32	76	1.692e-08
as	33	75	1.09e-08
se	34	74	1.027e-09
se	34	76	1.133e-08
